date,AEGS.NS,ARTI.NS,ASHT.NS,BOB.NS,BRIT.NS,CEMI.NS,CHPC.NS,GENS.NS,GICH.NS,HEGL.NS,HLVL.NS,IMCL.NS,JAAO.NS,JKIN.NS,KAMT.NS,MDRD.BO,NALU.NS,OSGL.NS,SEAM.NS,TAJG.NS,TANE.BO,THOM.NS,TVEL.NS,VENK.NS,VSTI.NS,WHEL.NS,WIPR.NS,WRRN.BO,WSTC.NS,XPRO.NS
03-01-2005,2.45,6.85,295.56,31.21,69.82,17.93,128.17,9.51,15.26,12.17,29.42,17.21,15.77,10.54,47.34,4.51,21.38,9.42,81.30,51.95,18.98,9.78,64.60,49.51,9.52,63.65,28.66,58.26,29.65,18.12
04-01-2005,2.69,6.69,305.43,31.35,69.79,17.27,131.51,9.46,15.35,12.02,29.29,16.86,15.38,10.97,46.24,4.45,21.05,9.75,81.06,50.77,18.38,9.94,68.48,49.07,9.63,63.40,28.47,62.72,28.40,18.16
05-01-2005,2.58,6.41,299.59,29.00,67.87,16.48,128.62,9.04,14.54,11.54,27.98,15.99,15.77,10.34,43.39,4.39,18.97,8.90,75.54,49.98,16.56,9.81,63.07,47.56,9.68,61.60,120.82,26.99,26.87,3.72
06-01-2005,2.47,6.10,298.91,27.88,67.57,15.81,127.04,9.02,13.96,11.63,27.61,15.54,15.55,10.56,42.38,4.45,18.43,8.62,72.39,50.41,15.48,9.75,61.59,47.15,9.60,60.47,26.20,61.37,26.43,17.06
07-01-2005,2.45,6.14,294.33,28.10,67.58,16.10,127.07,9.04,14.25,35.21,27.76,15.75,15.46,10.59,42.34,4.21,18.71,8.62,73.31,51.79,17.02,9.77,62.90,46.82,9.74,58.75,26.59,61.07,27.96,16.82
10-01-2005,2.58,6.00,301.08,27.36,67.65,16.39,126.79,9.22,14.76,11.43,27.91,15.75,15.57,10.58,45.37,4.50,10.70,9.56,73.61,54.31,18.70,9.69,62.33,47.15,9.64,59.35,25.77,61.21,27.46,16.99
11-01-2005,2.54,5.99,303.71,25.97,67.18,16.06,126.63,43.15,14.27,11.14,27.94,15.12,15.32,10.31,43.39,4.22,17.87,9.19,68.81,55.28,18.94,9.51,60.41,47.20,9.50,57.58,25.69,58.74,26.62,16.69
12-01-2005,2.52,5.71,302.76,24.62,66.81,15.49,123.73,7.98,13.46,11.07,26.91,14.19,15.19,31.86,39.99,4.08,17.40,8.33,64.07,54.06,17.07,9.22,57.70,45.06,9.24,56.63,24.93,55.80,25.24,16.13
13-01-2005,2.57,5.88,304.29,26.42,67.03,15.97,125.16,8.85,13.83,11.41,27.54,15.09,15.23,10.37,40.91,4.22,17.83,8.62,66.10,54.44,17.30,9.29,15.55,45.28,9.44,57.33,25.49,57.20,26.39,16.31
14-01-2005,2.61,5.72,307.15,26.22,65.70,15.65,127.51,8.76,13.87,11.29,26.38,14.77,15.29,10.14,41.46,3.89,17.36,8.33,63.97,54.97,5.74,9.25,59.36,45.25,9.44,57.80,25.26,57.39,25.91,4.36
17-01-2005,2.60,5.54,305.97,27.01,65.65,15.82,124.06,38.98,13.57,11.25,26.91,14.62,15.38,9.72,38.85,3.98,17.18,7.77,63.63,53.44,9.09,9.09,180.67,44.23,9.64,56.60,25.66,54.09,25.49,15.67
