Date,Stock,Return,Price Before,Price After
2013-11-05,GICH.NS,24.36102027468934,15.29,387.77
2008-07-01,THOM.NS,17.243194192377494,5.51,100.52
2020-08-17,VENK.NS,14.310073423072645,359.56,5504.89
2021-02-11,TANE.BO,14.28754813863928,7.79,119.09
2013-12-17,XPRO.NS,11.68623853211009,5.45,69.14
2011-07-12,VENK.NS,11.658415457437727,128.87,1631.29
2017-07-21,CHPC.NS,11.007890122735244,68.44,821.82
2023-04-20,JAAO.NS,10.890187349285847,53.91,641.0
2013-01-04,TANE.BO,10.687050359712233,5.56,64.98
2023-12-18,XPRO.NS,10.573218414967418,237.85,2752.69
2017-01-20,BOB.NS,10.539489382009068,41.91,483.62
2011-06-01,THOM.NS,9.60958904109589,7.3,77.45
2015-08-18,WIPR.NS,9.53855072463768,34.5,363.58
2013-01-23,TVEL.NS,9.393700787401576,3.81,39.6
2012-07-25,NALU.NS,9.252418645558487,11.37,116.57
2020-12-30,BOB.NS,9.12909260991581,21.38,216.56
2011-09-23,VSTI.NS,8.70829203832177,30.27,293.87
2022-03-17,XPRO.NS,8.545337159253947,209.1,1995.93
2021-06-30,XPRO.NS,8.4996261682243,53.5,508.23
2017-12-14,HEGL.NS,8.287367223065251,105.44,979.26
2016-02-04,ASHT.NS,7.983232729711602,29.82,267.88
2017-11-01,WSTC.NS,7.55423547582274,84.17,720.01
2007-10-24,CEMI.NS,7.521497919556172,14.42,122.88
2006-07-19,ARTI.NS,7.49438202247191,0.89,7.56
2024-12-03,VENK.NS,7.418802145411204,469.84,3955.49
2014-09-18,VENK.NS,7.4067839578157475,197.23,1658.07
2013-10-22,JAAO.NS,7.398305084745763,16.52,138.74
2013-03-19,WSTC.NS,7.051458670988655,24.68,198.71
2012-10-05,KAMT.NS,6.972884760230982,39.83,317.56
2015-10-06,WRRN.BO,6.8723806752037255,68.72,540.99
2014-10-16,THOM.NS,6.869704521181915,28.09,221.06
2024-06-20,KAMT.NS,6.856030439784089,113.01,887.81
2013-05-24,IMCL.NS,6.848623853211009,13.08,102.66
2019-10-11,VSTI.NS,6.534411172622043,158.96,1197.67
2016-01-27,HEGL.NS,6.354368932038835,8.24,60.6
2024-08-06,TAJG.NS,6.328409390662094,113.73,833.46
2016-05-12,WSTC.NS,6.177526788300029,34.53,247.84
2005-05-12,BRIT.NS,5.7648911798396325,34.92,236.23
2011-08-23,MDRD.BO,5.761627906976745,6.88,46.52
2023-10-10,HEGL.NS,5.5812740252608455,109.26,719.07
2020-05-08,WSTC.NS,5.471345514950167,48.16,311.66
2014-12-04,WIPR.NS,5.326749167063303,42.02,265.85
2010-12-10,GENS.NS,4.6812877829326585,213.39,1212.33
2025-05-14,GENS.NS,4.603118808717326,312.94,1753.44
2019-11-06,SEAM.NS,4.5055753262158955,379.35,2088.54
2015-06-29,SEAM.NS,4.42757488715634,48.74,264.54
2009-03-13,NALU.NS,4.354920100925147,23.78,127.34
2018-02-05,OSGL.NS,4.288416075650118,16.92,89.48
2012-03-13,TAJG.NS,4.275262789067975,71.35,376.39
2025-12-05,GENS.NS,4.25591963645061,83.62,439.5
2014-11-13,AEGS.NS,4.244335578689529,32.66,171.28
2020-07-08,KAMT.NS,4.2318181818181815,35.2,184.16
2006-11-29,MDRD.BO,4.2176100628930815,7.95,41.48
2015-04-10,GENS.NS,4.213106635853417,60.58,315.81
