Stock,Mean Return,Std Dev,Maximum Return,Minimum Return,Returns >20%,Returns >50%,Returns >100%,Returns <-20%,Returns <-50%
THOM.NS,0.055890400250467695,0.52429989716755,17.243194192377494,-0.801109932261487,197,187,168,191,169
AEGS.NS,0.054197858964794,0.4559498788237246,4.244335578689529,-0.8036484245439469,187,186,167,187,163
WRRN.BO,0.0525203845954904,0.4562317233686815,6.8723806752037255,-0.9311592660394227,185,183,166,180,166
ASHT.NS,0.05251676035754962,0.4628617019141129,7.983232729711602,-0.9196645272639016,176,175,161,177,161
BOB.NS,0.05459210084106273,0.49053049123318604,10.539489382009068,-0.9229198423883345,176,173,153,175,153
IMCL.NS,0.051214278798907824,0.45283865394208117,6.848623853211009,-0.8806528900868523,168,167,152,167,153
HLVL.NS,0.04920573753177584,0.4359651223720665,3.8811410459587963,-0.8413028413028413,184,183,152,182,152
JAAO.NS,0.05048048318268572,0.4606513943767074,10.890187349285847,-0.9371279221722085,181,175,151,177,152
TAJG.NS,0.0504164658099335,0.4476003525693038,6.328409390662094,-0.9382609176136887,175,173,150,170,149
WSTC.NS,0.04767861953769126,0.44419919135717106,7.55423547582274,-0.8925205534389413,171,169,149,173,147
BRIT.NS,0.04608107877473259,0.4204240374630411,5.7648911798396325,-0.8098941963964397,172,171,148,172,150
CEMI.NS,0.0478109955828102,0.4357965207004017,7.521497919556172,-0.9312837996708206,160,159,146,159,145
HEGL.NS,0.046538211232496206,0.43717239996280793,8.287367223065251,-0.8689974550461013,161,160,138,161,142
WIPR.NS,0.042208028768122734,0.4121756183335668,9.53855072463768,-0.9094939531467248,165,165,138,163,141
KAMT.NS,0.04860725254633599,0.44847112101607306,6.972884760230982,-0.9412642511788933,169,163,138,163,142
XPRO.NS,0.053373945006882556,0.5098969687599916,11.68623853211009,-0.8097799208704253,164,162,138,168,142
OSGL.NS,0.048344436506737754,0.4427148992027608,4.288416075650118,-0.8037985136251032,160,149,138,151,135
TANE.BO,0.04701402217430537,0.47254183459528265,14.28754813863928,-0.8048137737174983,158,156,136,157,140
VENK.NS,0.0490314412630369,0.49756723462640945,14.310073423072645,-0.7989287782281412,157,156,134,162,138
VSTI.NS,0.042969740991219446,0.41824390424432606,8.70829203832177,-0.8965764274975532,152,152,134,152,132
ARTI.NS,0.04332983047439934,0.412400342923575,7.49438202247191,-0.8016616731476169,162,159,133,161,134
MDRD.BO,0.043148631986053496,0.4114649345398753,5.761627906976745,-0.8623262995367987,153,150,133,150,129
JKIN.NS,0.04364293229054785,0.4114085066730455,4.194616977225673,-0.8138553625748209,152,152,132,152,132
GENS.NS,0.047404456458857186,0.43467716016678065,4.6812877829326585,-0.815063731170336,160,157,132,161,136
NALU.NS,0.047537857407476014,0.4501118897429825,9.252418645558487,-0.8270462633451957,153,153,131,155,134
CHPC.NS,0.042886824395076566,0.42288074490086724,11.007890122735244,-0.8011295980433173,160,158,130,159,129
SEAM.NS,0.04227621467125437,0.40639359733600994,4.5055753262158955,-0.9141375336150596,152,149,129,148,128
WHEL.NS,0.03752107448377141,0.36942729664944646,3.9835334539539824,-0.8653193075457632,153,149,121,144,121
GICH.NS,0.0405567480986364,0.5004771189125693,24.36102027468934,-0.9016439342426303,142,139,119,142,117
TVEL.NS,0.040922492501911226,0.4075714034346339,9.393700787401576,-0.8856060606060606,152,145,119,145,125
